spotterId,Nov24lat,Nov24lon,Nov26lat,Nov26lon,Nov28lat,Nov28lon,Nov30lat,Nov30lon,Dec2lat,Dec2lon
spot-0,2,38,17,327,30,41,6,109,33,86
spot-1,23,310,14,205,7,301,47,102,41,183
spot-2,7,285,37,261,4,171,16,144,38,168
spot-3,50,292,21,11,19,244,4,15,39,153
spot-4,20,164,38,129,50,344,23,45,17,195
spot-5,23,17,13,295,30,121,19,176,5,259
spot-6,46,353,23,277,50,264,47,98,27,260
spot-7,32,292,9,191,36,181,10,132,39,84
spot-8,47,1,21,15,21,3,12,164,44,89
spot-9,22,172,23,71,48,301,11,17,6,217
spot-10,16,39,45,88,15,146,9,165,3,192
spot-11,37,194,21,216,45,64,14,113,7,158
spot-12,47,13,21,298,29,35,32,319,31,334
spot-13,8,200,36,344,20,133,33,347,35,124
spot-14,19,151,33,328,11,323,49,12,34,295
spot-15,20,277,0,161,45,304,11,356,42,281
spot-16,15,334,12,327,2,350,5,50,43,271
spot-17,36,17,16,236,6,17,17,119,49,96
spot-18,26,213,39,282,41,302,18,228,32,92
spot-19,14,12,45,37,49,33,8,110,5,114
spot-20,0,287,8,19,38,334,17,142,44,56
spot-21,41,151,32,313,2,262,34,97,16,290
spot-22,46,274,27,15,45,182,11,69,45,240
spot-23,35,274,50,34,26,197,29,314,18,79
spot-24,20,7,19,10,30,256,46,253,31,97
spot-25,30,289,0,178,36,118,27,175,13,199
spot-26,1,175,22,198,31,120,15,204,5,73
spot-27,32,28,6,302,7,338,29,196,17,291
spot-28,33,344,33,213,39,186,0,111,38,243
spot-29,16,8,0,46,19,132,23,35,44,284
spot-30,48,333,28,218,29,94,26,111,32,86
spot-31,3,87,39,230,4,232,21,261,37,191
spot-32,16,303,25,166,20,271,2,184,45,88
spot-33,35,318,39,22,42,283,1,272,16,22
spot-34,36,263,40,224,42,168,0,243,24,58
spot-35,26,66,27,96,32,199,6,166,49,321
spot-36,19,346,5,227,8,50,26,184,11,110
spot-37,3,2,43,306,0,111,47,343,38,329
spot-38,1,11,34,150,7,201,29,289,6,295
spot-39,16,304,27,279,44,126,9,166,24,189
spot-40,39,288,44,107,0,274,34,282,20,172
spot-41,39,155,45,238,47,95,44,39,39,80
spot-42,27,285,40,161,10,341,7,252,35,37
spot-43,20,147,17,80,39,51,13,89,9,263
spot-44,7,192,22,316,26,331,22,38,1,300
spot-45,45,103,38,259,6,14,21,98,3,263
spot-46,21,194,25,3,30,22,35,323,24,264
spot-47,34,44,5,64,45,166,4,34,0,308
spot-48,45,17,5,161,30,345,21,334,34,308
spot-49,44,30,44,101,13,1,2,137,35,332
spot-50,30,337,37,131,35,270,34,290,38,269
spot-51,22,200,47,252,18,164,27,63,7,228
spot-52,16,159,15,267,37,97,0,354,8,32
spot-53,29,20,20,142,8,224,15,156,15,7
spot-54,23,48,16,304,30,313,46,308,20,325
spot-55,13,152,41,252,3,151,21,20,50,79
spot-56,18,214,49,244,3,268,9,248,25,331
spot-57,28,215,41,148,48,343,0,84,31,63
spot-58,15,192,22,337,30,86,47,203,50,65
spot-59,23,143,13,168,48,106,40,265,32,227
spot-60,3,103,32,119,37,44,40,134,25,288
spot-61,17,212,37,349,32,82,45,18,14,213
spot-62,15,352,7,121,9,288,26,50,24,333
spot-63,20,102,6,350,32,272,29,291,40,7
spot-64,30,37,22,328,39,175,43,262,29,140
spot-65,31,230,31,309,24,305,15,29,32,109
spot-66,38,218,15,93,0,291,8,293,3,124
spot-67,14,102,47,285,50,110,43,238,9,326
spot-68,24,173,31,157,28,167,26,360,23,16
spot-69,31,122,3,101,11,9,5,12,38,44
spot-70,39,95,12,187,28,210,0,0,39,227
spot-71,33,65,37,105,0,176,20,360,0,24
spot-72,31,119,2,347,10,93,30,274,34,37
spot-73,22,312,5,266,38,355,6,294,21,135
spot-74,26,56,42,92,14,245,47,77,44,250
spot-75,9,143,0,234,9,327,43,285,23,25
spot-76,8,317,3,28,24,148,13,253,21,67
spot-77,24,244,1,281,14,351,50,203,12,228
spot-78,41,76,37,89,1,2,35,22,29,336
spot-79,4,184,19,50,33,107,47,236,13,351
spot-80,31,279,45,23,10,329,18,265,41,25
spot-81,28,268,32,252,32,125,25,31,27,285
spot-82,31,310,36,139,13,234,17,88,11,275
spot-83,4,17,39,207,42,330,6,156,48,244
spot-84,27,298,27,288,6,3,15,268,9,195
spot-85,50,35,45,133,13,320,44,41,3,6
spot-86,24,224,40,18,50,228,0,86,22,164
spot-87,12,42,34,20,15,40,45,48,47,39
spot-88,9,121,45,282,7,9,24,317,43,42
spot-89,23,201,17,335,41,185,2,41,32,224
spot-90,8,296,36,216,49,187,18,50,37,205
spot-91,24,94,7,2,25,340,23,161,19,109
spot-92,13,340,50,180,11,156,13,254,19,158
spot-93,16,242,43,206,38,163,5,218,35,270
spot-94,25,154,0,38,22,113,44,205,26,347
spot-95,30,204,32,131,24,234,45,121,42,258
spot-96,23,295,11,223,23,36,2,127,13,143
spot-97,16,107,17,195,22,3,18,89,2,201
spot-98,40,97,30,42,41,226,48,80,7,123
spot-99,16,49,4,245,28,270,15,214,17,25
